lead_id,fecha_registro,canal,empresa_id,punto_venta_id,modelo_cotizado,precio_lista,horas_al_primer_contacto,numero_contactos,manifesto_cuota_inicial,forma_pago_declarada,pidio_cita,desenlace
HX-00494,2026-07-25,WhatsApp,EMP-02,PV-007,Honda CB 125F Twister,7990000,1,7,SI,no_informa,NO,Perdido
HX-00495,2026-07-24,WhatsApp,EMP-01,PV-001,AKT NKD 125,5290000,16,3,NO_INFORMA,contado,NO,Perdido
HX-00496,2026-07-20,WhatsApp,EMP-01,PV-005,Hero Dash 110,6290000,24,6,SI,credito,NO,Perdido
HX-00497,2026-04-16,WhatsApp,EMP-02,PV-010,Bajaj Pulsar NS 160,11290000,48,4,NO,credito,SI,Cerrado
HX-00498,2026-03-16,Formulario Web,EMP-02,PV-008,Hero Xpulse 200,14990000,0.5,3,SI,no_informa,NO,Perdido
HX-00499,2026-06-23,Formulario Web,EMP-01,PV-002,Honda Dio 110,6890000,4,4,NO,credito,NO,Perdido
HX-00500,2026-04-30,Meta Ads,EMP-03,PV-012,Honda CB 125F Twister,7990000,4,5,NO,credito,SI,Cerrado
HX-00501,2026-07-13,Formulario Web,EMP-02,PV-008,Bajaj Discover 125,6990000,24,2,SI,no_informa,NO,Perdido
HX-00502,2026-05-23,WhatsApp,EMP-02,PV-010,Honda Dio 110,6890000,24,1,NO,credito,NO,Perdido
HX-00503,2026-06-14,Meta Ads,EMP-01,PV-004,Honda CB 190R,13990000,48,6,SI,credito,SI,Perdido
HX-00504,2026-03-19,Meta Ads,EMP-01,PV-003,Hero Hunk 160R,10490000,2,5,NO,contado,NO,Perdido
HX-00505,2026-03-23,Meta Ads,EMP-01,PV-002,Bajaj Pulsar NS 160,11290000,2,6,SI,credito,NO,Perdido
HX-00506,2026-06-20,Meta Ads,EMP-01,PV-002,Hero Dash 110,6290000,16,5,SI,credito,SI,Perdido
HX-00507,2026-06-26,WhatsApp,EMP-01,PV-005,Hero Dash 110,6290000,24,3,SI,no_informa,NO,Perdido
HX-00508,2026-05-16,Meta Ads,EMP-03,PV-014,Hero Eco Deluxe 100,4990000,4,7,NO_INFORMA,no_informa,NO,Perdido
HX-00509,2026-06-20,WhatsApp,EMP-02,PV-010,AKT Dynamic R3 125,5590000,48,4,NO_INFORMA,credito,NO,Perdido
HX-00510,2026-07-12,Meta Ads,EMP-03,PV-011,AKT NKD 125,5290000,24,5,NO_INFORMA,credito,SI,Perdido
HX-00511,2026-06-05,WhatsApp,EMP-03,PV-012,Suzuki Best 125,6590000,1,5,NO,no_informa,SI,Cerrado
HX-00512,2026-07-03,WhatsApp,EMP-03,PV-011,Bajaj Dominar 400,24900000,120,6,SI,credito,SI,Perdido
HX-00513,2026-05-26,WhatsApp,EMP-02,PV-006,Hero Eco Deluxe 100,4990000,48,7,NO_INFORMA,no_informa,NO,Perdido
HX-00514,2026-03-24,Meta Ads,EMP-03,PV-011,Suzuki GN 125,7490000,2,3,NO,contado,NO,Perdido
HX-00515,2026-03-20,Meta Ads,EMP-01,PV-005,Hero Eco Deluxe 100,4990000,,0,NO,no_informa,SI,Sin gestión
HX-00516,2026-07-09,WhatsApp,EMP-03,PV-013,AKT NKD 125,5290000,,0,SI,no_informa,NO,Sin gestión
HX-00517,2026-03-10,WhatsApp,EMP-01,PV-001,AKT Dynamic R3 125,5590000,24,6,SI,no_informa,NO,Perdido
HX-00518,2026-07-04,WhatsApp,EMP-03,PV-012,Honda CB 190R,13990000,16,2,NO_INFORMA,credito,NO,Cerrado
HX-00519,2026-05-10,WhatsApp,EMP-02,PV-007,Suzuki GN 125,7490000,16,6,NO_INFORMA,credito,SI,Perdido
HX-00520,2026-05-05,WhatsApp,EMP-03,PV-011,Honda CB 190R,13990000,8,1,SI,credito,NO,Perdido
HX-00521,2026-07-11,Formulario Web,EMP-02,PV-010,Honda XR 150L,11490000,120,7,NO,credito,NO,Perdido
HX-00522,2026-07-16,WhatsApp,EMP-03,PV-015,AKT NKD 125,5290000,2,2,NO_INFORMA,credito,SI,Perdido
HX-00523,2026-03-18,WhatsApp,EMP-02,PV-006,Suzuki GN 125,7490000,1,5,SI,contado,SI,Perdido
HX-00524,2026-05-20,WhatsApp,EMP-02,PV-006,Suzuki GN 125,7490000,48,4,NO,no_informa,NO,Perdido
HX-00525,2026-03-31,WhatsApp,EMP-02,PV-006,Honda XR 150L,11490000,8,7,NO,credito,SI,Perdido
HX-00526,2026-05-17,WhatsApp,EMP-03,PV-015,Hero Eco Deluxe 100,4990000,,0,SI,credito,SI,Sin gestión
HX-00527,2026-06-02,Meta Ads,EMP-03,PV-012,Bajaj Pulsar NS 160,11290000,16,7,NO,contado,NO,Perdido
HX-00528,2026-03-29,Meta Ads,EMP-02,PV-006,Suzuki V-Strom 250,21900000,,0,NO,credito,NO,Sin gestión
HX-00529,2026-07-19,Meta Ads,EMP-01,PV-001,AKT Evo RS 150,7190000,48,7,NO_INFORMA,credito,NO,Perdido
HX-00530,2026-06-06,WhatsApp,EMP-02,PV-009,Hero Dash 110,6290000,72,1,SI,credito,NO,Perdido
HX-00531,2026-06-19,WhatsApp,EMP-03,PV-011,Bajaj Dominar 400,24900000,24,2,NO,credito,NO,Perdido
HX-00532,2026-05-02,WhatsApp,EMP-01,PV-002,Bajaj Dominar 400,24900000,4,2,NO_INFORMA,credito,NO,Perdido
HX-00533,2026-04-03,WhatsApp,EMP-01,PV-005,Bajaj Pulsar RS 200,15490000,16,2,SI,no_informa,NO,Perdido
HX-00534,2026-04-21,Meta Ads,EMP-02,PV-007,Hero Hunk 160R,10490000,24,7,NO_INFORMA,credito,SI,Perdido
HX-00535,2026-06-07,Meta Ads,EMP-01,PV-005,Honda Dio 110,6890000,8,2,NO,credito,NO,Perdido
HX-00536,2026-06-19,WhatsApp,EMP-01,PV-002,AKT TTR 200,9890000,2,7,SI,credito,NO,Perdido
HX-00537,2026-07-26,WhatsApp,EMP-01,PV-001,Hero Eco Deluxe 100,4990000,48,3,NO,contado,NO,Perdido
HX-00538,2026-07-15,WhatsApp,EMP-03,PV-015,AKT NKD 125,5290000,72,4,NO_INFORMA,credito,NO,Perdido
HX-00539,2026-07-21,Formulario Web,EMP-02,PV-008,Honda XR 150L,11490000,16,7,NO_INFORMA,credito,NO,Perdido
HX-00540,2026-07-27,Formulario Web,EMP-01,PV-002,Hero Eco Deluxe 100,4990000,1,6,NO,no_informa,NO,Perdido
HX-00541,2026-04-09,WhatsApp,EMP-03,PV-015,Hero Hunk 160R,10490000,1,5,NO,credito,NO,Perdido
HX-00542,2026-06-10,Formulario Web,EMP-01,PV-004,Honda CB 125F Twister,7990000,24,6,SI,credito,NO,Perdido
HX-00543,2026-06-25,WhatsApp,EMP-02,PV-008,Bajaj Discover 125,6990000,4,2,NO_INFORMA,credito,SI,Perdido
HX-00544,2026-03-23,Formulario Web,EMP-01,PV-005,Honda Navi,7290000,2,5,SI,no_informa,SI,Perdido
HX-00545,2026-05-19,WhatsApp,EMP-03,PV-015,Honda CB 125F Twister,7990000,16,6,SI,no_informa,SI,Perdido
HX-00546,2026-07-07,Meta Ads,EMP-02,PV-008,Bajaj Pulsar RS 200,15490000,16,3,SI,contado,NO,Perdido
HX-00547,2026-03-24,WhatsApp,EMP-02,PV-010,Honda XR 150L,11490000,0.5,5,NO,contado,NO,Perdido
HX-00548,2026-06-01,WhatsApp,EMP-01,PV-004,AKT TTR 200,9890000,1,3,SI,credito,NO,Perdido
HX-00549,2026-04-04,Formulario Web,EMP-02,PV-007,Hero Eco Deluxe 100,4990000,1,5,SI,credito,SI,Cerrado
HX-00550,2026-07-07,WhatsApp,EMP-03,PV-012,Suzuki Gixxer 150,11990000,1,3,SI,credito,NO,Perdido
HX-00551,2026-04-06,Meta Ads,EMP-03,PV-012,Bajaj Pulsar NS 160,11290000,4,4,SI,credito,NO,Perdido
HX-00552,2026-05-14,WhatsApp,EMP-02,PV-009,Honda XRE 300,22900000,0.5,1,SI,contado,SI,Perdido
HX-00553,2026-03-06,WhatsApp,EMP-02,PV-006,Hero Hunk 160R,10490000,48,5,SI,contado,NO,Perdido
HX-00554,2026-05-09,WhatsApp,EMP-02,PV-008,Suzuki V-Strom 250,21900000,,0,NO_INFORMA,contado,NO,Sin gestión
HX-00555,2026-05-06,WhatsApp,EMP-01,PV-002,Honda Dio 110,6890000,,0,NO_INFORMA,contado,NO,Sin gestión
HX-00556,2026-03-12,WhatsApp,EMP-01,PV-005,Bajaj Boxer CT 100,5790000,24,2,NO,credito,SI,Perdido
HX-00557,2026-03-28,WhatsApp,EMP-02,PV-009,Suzuki Gixxer 150,11990000,2,4,NO_INFORMA,credito,NO,Perdido
HX-00558,2026-05-20,WhatsApp,EMP-02,PV-008,Honda Navi,7290000,4,4,SI,credito,NO,Perdido
HX-00559,2026-04-09,Meta Ads,EMP-03,PV-015,Bajaj Pulsar RS 200,15490000,,0,NO,no_informa,NO,Sin gestión
HX-00560,2026-04-07,Meta Ads,EMP-01,PV-005,Suzuki Gixxer 150,11990000,2,5,SI,credito,NO,Perdido
HX-00561,2026-07-04,Meta Ads,EMP-03,PV-015,Bajaj Pulsar RS 200,15490000,,0,NO_INFORMA,credito,NO,Sin gestión
HX-00562,2026-04-25,Meta Ads,EMP-01,PV-002,Bajaj Pulsar NS 160,11290000,72,4,NO_INFORMA,credito,SI,Perdido
HX-00563,2026-05-07,WhatsApp,EMP-03,PV-014,Suzuki Gixxer 150,11990000,72,6,SI,credito,NO,Perdido
HX-00564,2026-05-07,Formulario Web,EMP-01,PV-001,AKT Dynamic R3 125,5590000,2,1,NO,no_informa,NO,Perdido
HX-00565,2026-06-14,WhatsApp,EMP-03,PV-015,AKT TTR 200,9890000,48,3,NO,credito,NO,Perdido
HX-00566,2026-06-24,WhatsApp,EMP-01,PV-004,AKT TTR 200,9890000,1,5,NO,credito,NO,Cerrado
HX-00567,2026-05-28,WhatsApp,EMP-01,PV-003,Honda XRE 300,22900000,1,2,NO_INFORMA,credito,NO,Perdido
HX-00568,2026-05-16,Formulario Web,EMP-02,PV-007,Bajaj Boxer CT 100,5790000,,0,NO,credito,NO,Sin gestión
HX-00569,2026-06-21,Formulario Web,EMP-01,PV-004,AKT NKD 125,5290000,2,5,NO,contado,NO,Perdido
HX-00570,2026-03-12,WhatsApp,EMP-01,PV-003,AKT TTR 200,9890000,4,2,NO,credito,SI,Perdido
HX-00571,2026-05-13,Meta Ads,EMP-02,PV-008,Suzuki Best 125,6590000,0.5,4,NO,contado,NO,Perdido
HX-00572,2026-04-02,Meta Ads,EMP-02,PV-007,Bajaj Pulsar NS 125,8990000,4,2,NO,credito,NO,Perdido
HX-00573,2026-07-07,Formulario Web,EMP-01,PV-002,Honda CB 125F Twister,7990000,4,7,SI,no_informa,SI,Perdido
HX-00574,2026-04-26,WhatsApp,EMP-02,PV-009,Hero Dash 110,6290000,16,3,NO,no_informa,SI,Perdido
HX-00575,2026-07-20,Meta Ads,EMP-01,PV-004,Honda XR 150L,11490000,8,2,NO,credito,NO,Perdido
HX-00576,2026-07-09,Meta Ads,EMP-03,PV-014,Suzuki Best 125,6590000,72,5,NO,contado,SI,Perdido
HX-00577,2026-04-25,Formulario Web,EMP-02,PV-009,Honda Dio 110,6890000,24,3,NO,credito,SI,Perdido
HX-00578,2026-03-22,WhatsApp,EMP-03,PV-011,Bajaj Pulsar NS 160,11290000,2,1,NO,contado,SI,Cerrado
HX-00579,2026-07-19,WhatsApp,EMP-02,PV-008,Honda Navi,7290000,2,5,NO_INFORMA,credito,NO,Perdido
HX-00580,2026-06-17,Meta Ads,EMP-03,PV-014,AKT NKD 125,5290000,72,4,SI,no_informa,NO,Perdido
HX-00581,2026-03-08,Meta Ads,EMP-03,PV-015,Hero Eco Deluxe 100,4990000,1,6,SI,credito,NO,Perdido
HX-00582,2026-06-23,Formulario Web,EMP-01,PV-001,Bajaj Pulsar RS 200,15490000,24,3,NO,credito,SI,Perdido
HX-00583,2026-05-29,Meta Ads,EMP-02,PV-006,Suzuki Best 125,6590000,0.5,2,SI,no_informa,SI,Perdido
HX-00584,2026-03-17,WhatsApp,EMP-01,PV-005,Hero Eco Deluxe 100,4990000,,0,NO_INFORMA,contado,NO,Sin gestión
HX-00585,2026-04-02,Meta Ads,EMP-01,PV-001,Suzuki V-Strom 250,21900000,4,1,NO,credito,NO,Perdido
HX-00586,2026-04-16,Formulario Web,EMP-03,PV-013,AKT TTR 200,9890000,48,1,SI,contado,SI,Perdido
HX-00587,2026-06-10,WhatsApp,EMP-03,PV-014,Honda Dio 110,6890000,24,5,SI,credito,NO,Perdido
HX-00588,2026-04-21,Meta Ads,EMP-02,PV-009,Honda CB 190R,13990000,1,6,NO,credito,NO,Perdido
HX-00589,2026-05-05,WhatsApp,EMP-01,PV-003,AKT Dynamic R3 125,5590000,1,4,SI,no_informa,SI,Perdido
HX-00590,2026-07-08,WhatsApp,EMP-02,PV-006,AKT Evo RS 150,7190000,4,3,NO_INFORMA,no_informa,NO,Perdido
HX-00591,2026-03-03,WhatsApp,EMP-01,PV-001,Honda Dio 110,6890000,0.5,5,NO,credito,SI,Perdido
HX-00592,2026-07-09,Meta Ads,EMP-03,PV-013,Hero Hunk 160R,10490000,8,4,NO_INFORMA,contado,NO,Perdido
HX-00593,2026-05-13,Meta Ads,EMP-01,PV-005,Bajaj Pulsar RS 200,15490000,2,2,NO,no_informa,NO,Perdido
HX-00594,2026-03-30,Meta Ads,EMP-01,PV-005,AKT Evo RS 150,7190000,0.5,6,SI,contado,NO,Perdido
HX-00595,2026-06-10,Formulario Web,EMP-01,PV-003,Honda Dio 110,6890000,1,4,NO_INFORMA,credito,SI,Cerrado
HX-00596,2026-07-06,WhatsApp,EMP-03,PV-011,Hero Dash 110,6290000,8,1,NO,credito,SI,Perdido
HX-00597,2026-03-22,Meta Ads,EMP-01,PV-001,Bajaj Pulsar RS 200,15490000,16,6,NO,credito,NO,Perdido
HX-00598,2026-04-08,WhatsApp,EMP-01,PV-004,Bajaj Pulsar NS 125,8990000,24,7,NO_INFORMA,contado,NO,Perdido
HX-00599,2026-07-08,Formulario Web,EMP-02,PV-010,Honda CB 190R,13990000,72,3,NO,credito,NO,Perdido
HX-00600,2026-04-04,WhatsApp,EMP-02,PV-009,Honda XRE 300,22900000,0.5,7,NO,contado,NO,Perdido
HX-00601,2026-03-05,WhatsApp,EMP-01,PV-004,Suzuki GN 125,7490000,8,4,SI,credito,NO,Perdido
HX-00602,2026-03-03,Formulario Web,EMP-03,PV-013,AKT TTR 200,9890000,24,4,NO,contado,SI,Perdido
HX-00603,2026-07-20,WhatsApp,EMP-03,PV-012,Honda CB 190R,13990000,16,2,NO_INFORMA,credito,NO,Perdido
HX-00604,2026-05-24,WhatsApp,EMP-01,PV-004,Bajaj Pulsar RS 200,15490000,120,5,SI,contado,SI,Perdido
HX-00605,2026-05-08,WhatsApp,EMP-01,PV-004,Bajaj Discover 125,6990000,,0,NO,no_informa,NO,Sin gestión
HX-00606,2026-03-18,Meta Ads,EMP-03,PV-012,Honda Dio 110,6890000,8,2,NO,credito,NO,Perdido
HX-00607,2026-03-02,Meta Ads,EMP-02,PV-008,Honda Dio 110,6890000,120,7,NO_INFORMA,contado,NO,Perdido
HX-00608,2026-05-25,WhatsApp,EMP-03,PV-011,Honda Dio 110,6890000,4,5,SI,credito,SI,Cerrado
HX-00609,2026-04-06,Meta Ads,EMP-02,PV-007,Suzuki Gixxer 150,11990000,48,1,SI,credito,NO,Perdido
HX-00610,2026-03-13,WhatsApp,EMP-02,PV-010,Suzuki V-Strom 250,21900000,120,5,SI,credito,NO,Perdido
HX-00611,2026-06-14,Meta Ads,EMP-03,PV-011,AKT NKD 125,5290000,8,2,NO,credito,NO,Cerrado
HX-00612,2026-05-10,Formulario Web,EMP-01,PV-002,Hero Hunk 160R,10490000,0.5,2,NO,no_informa,SI,Perdido
HX-00613,2026-07-08,WhatsApp,EMP-03,PV-015,Hero Hunk 160R,10490000,8,1,NO,contado,SI,Perdido
HX-00614,2026-07-24,WhatsApp,EMP-02,PV-009,Hero Hunk 160R,10490000,120,3,SI,credito,NO,Perdido
HX-00615,2026-05-01,WhatsApp,EMP-02,PV-006,Bajaj Boxer CT 100,5790000,72,7,SI,contado,NO,Perdido
HX-00616,2026-07-11,WhatsApp,EMP-03,PV-015,AKT NKD 125,5290000,0.5,3,NO,credito,NO,Perdido
HX-00617,2026-04-10,WhatsApp,EMP-02,PV-006,Bajaj Pulsar NS 125,8990000,2,5,NO,credito,SI,Perdido
HX-00618,2026-05-27,Meta Ads,EMP-01,PV-002,Honda XRE 300,22900000,4,3,NO,credito,NO,Perdido
HX-00619,2026-05-12,Meta Ads,EMP-03,PV-011,Bajaj Pulsar NS 125,8990000,24,3,NO,no_informa,SI,Perdido
HX-00620,2026-03-03,WhatsApp,EMP-03,PV-011,Suzuki Best 125,6590000,2,6,NO,credito,NO,Perdido
HX-00621,2026-06-16,Meta Ads,EMP-03,PV-014,Bajaj Dominar 400,24900000,24,5,NO,no_informa,SI,Perdido
HX-00622,2026-07-09,Formulario Web,EMP-02,PV-010,AKT TTR 200,9890000,4,6,NO,credito,NO,Perdido
HX-00623,2026-04-18,Meta Ads,EMP-01,PV-002,Suzuki Best 125,6590000,,0,NO_INFORMA,credito,NO,Sin gestión
HX-00624,2026-04-14,WhatsApp,EMP-01,PV-002,Bajaj Pulsar NS 160,11290000,48,4,NO_INFORMA,credito,NO,Perdido
HX-00625,2026-07-17,Meta Ads,EMP-01,PV-001,AKT Dynamic R3 125,5590000,72,5,SI,no_informa,NO,Perdido
HX-00626,2026-03-17,WhatsApp,EMP-01,PV-002,Hero Hunk 160R,10490000,2,6,NO,contado,NO,Perdido
HX-00627,2026-03-26,WhatsApp,EMP-01,PV-001,Suzuki V-Strom 250,21900000,0.5,6,NO,no_informa,SI,Cerrado
HX-00628,2026-05-22,Meta Ads,EMP-01,PV-003,Hero Dash 110,6290000,72,6,NO_INFORMA,credito,NO,Perdido
HX-00629,2026-05-29,WhatsApp,EMP-01,PV-001,Honda Dio 110,6890000,48,6,NO,credito,NO,Perdido
HX-00630,2026-03-27,Meta Ads,EMP-01,PV-001,Bajaj Pulsar NS 125,8990000,,0,NO_INFORMA,no_informa,NO,Sin gestión
HX-00631,2026-03-05,WhatsApp,EMP-01,PV-002,Honda XR 150L,11490000,1,3,SI,credito,NO,Perdido
HX-00632,2026-06-26,Meta Ads,EMP-01,PV-003,Suzuki V-Strom 250,21900000,1,5,SI,no_informa,NO,Perdido
HX-00633,2026-05-22,WhatsApp,EMP-02,PV-008,Bajaj Pulsar NS 125,8990000,8,1,SI,credito,SI,Perdido
HX-00634,2026-03-25,WhatsApp,EMP-01,PV-004,Honda CB 125F Twister,7990000,0.5,7,NO,credito,NO,Perdido
HX-00635,2026-05-05,Meta Ads,EMP-02,PV-009,Bajaj Boxer CT 100,5790000,4,5,SI,contado,NO,Perdido
HX-00636,2026-03-19,Meta Ads,EMP-03,PV-014,Bajaj Pulsar NS 125,8990000,,0,NO,credito,SI,Sin gestión
HX-00637,2026-03-27,Meta Ads,EMP-01,PV-005,AKT Evo RS 150,7190000,2,1,NO_INFORMA,credito,NO,Perdido
HX-00638,2026-04-22,WhatsApp,EMP-01,PV-001,Bajaj Dominar 400,24900000,4,6,SI,credito,NO,Perdido
HX-00639,2026-06-14,Formulario Web,EMP-03,PV-013,Bajaj Dominar 400,24900000,4,4,NO_INFORMA,no_informa,SI,Perdido
HX-00640,2026-07-07,WhatsApp,EMP-01,PV-004,Honda Navi,7290000,24,6,NO,contado,NO,Perdido
HX-00641,2026-03-05,WhatsApp,EMP-01,PV-002,Bajaj Dominar 400,24900000,48,6,NO,contado,NO,Perdido
HX-00642,2026-04-18,Meta Ads,EMP-02,PV-008,Honda XRE 300,22900000,48,5,SI,credito,NO,Perdido
HX-00643,2026-05-17,WhatsApp,EMP-01,PV-003,Hero Hunk 160R,10490000,16,5,NO,contado,SI,Perdido
HX-00644,2026-07-19,Formulario Web,EMP-02,PV-007,Honda Dio 110,6890000,4,2,SI,credito,NO,Perdido
HX-00645,2026-04-16,WhatsApp,EMP-01,PV-001,AKT TTR 200,9890000,48,5,NO,credito,NO,Perdido
HX-00646,2026-03-20,WhatsApp,EMP-02,PV-006,AKT Evo RS 150,7190000,,0,SI,credito,NO,Sin gestión
HX-00647,2026-06-08,Formulario Web,EMP-02,PV-008,Suzuki GN 125,7490000,16,2,SI,credito,NO,Perdido
HX-00648,2026-04-15,Meta Ads,EMP-02,PV-006,Hero Hunk 160R,10490000,72,4,NO,no_informa,SI,Perdido
HX-00649,2026-04-26,Formulario Web,EMP-01,PV-002,Suzuki Best 125,6590000,0.5,1,NO,no_informa,SI,Perdido
HX-00650,2026-04-22,Meta Ads,EMP-02,PV-009,Bajaj Dominar 400,24900000,2,4,NO,credito,NO,Perdido
HX-00651,2026-06-09,Meta Ads,EMP-03,PV-014,Hero Hunk 160R,10490000,1,3,SI,contado,NO,Perdido
HX-00652,2026-07-27,Formulario Web,EMP-03,PV-013,Honda XRE 300,22900000,4,6,SI,credito,NO,Perdido
HX-00653,2026-06-20,Formulario Web,EMP-01,PV-001,Honda CB 125F Twister,7990000,48,7,NO,credito,NO,Perdido
HX-00654,2026-07-25,WhatsApp,EMP-02,PV-007,Honda CB 190R,13990000,24,3,NO,credito,NO,Perdido
HX-00655,2026-04-13,Formulario Web,EMP-02,PV-008,Honda XR 150L,11490000,120,3,NO,contado,NO,Perdido
HX-00656,2026-06-17,WhatsApp,EMP-01,PV-001,Bajaj Pulsar RS 200,15490000,4,6,NO,no_informa,NO,Perdido
HX-00657,2026-07-10,WhatsApp,EMP-02,PV-009,Hero Dash 110,6290000,24,5,SI,credito,NO,Perdido
HX-00658,2026-03-29,Meta Ads,EMP-01,PV-001,Suzuki Best 125,6590000,4,1,NO,credito,NO,Perdido
HX-00659,2026-05-22,WhatsApp,EMP-01,PV-005,Suzuki Best 125,6590000,24,5,SI,contado,NO,Perdido
HX-00660,2026-05-17,Meta Ads,EMP-01,PV-003,Hero Eco Deluxe 100,4990000,48,7,SI,no_informa,NO,Perdido
HX-00661,2026-05-05,Formulario Web,EMP-01,PV-003,Suzuki Gixxer 150,11990000,24,4,NO,contado,NO,Cerrado
HX-00662,2026-04-25,Meta Ads,EMP-03,PV-015,Honda XR 150L,11490000,48,4,NO,credito,SI,Perdido
HX-00663,2026-04-10,Meta Ads,EMP-03,PV-013,Bajaj Pulsar NS 160,11290000,4,6,NO_INFORMA,credito,NO,Perdido
HX-00664,2026-04-08,WhatsApp,EMP-03,PV-015,Bajaj Pulsar NS 125,8990000,2,5,SI,credito,NO,Perdido
HX-00665,2026-05-27,Meta Ads,EMP-02,PV-007,Suzuki Best 125,6590000,2,2,NO_INFORMA,contado,NO,Perdido
HX-00666,2026-06-07,Meta Ads,EMP-02,PV-009,Bajaj Pulsar NS 160,11290000,48,2,SI,credito,SI,Perdido
HX-00667,2026-04-23,WhatsApp,EMP-02,PV-007,Honda CB 125F Twister,7990000,8,5,NO_INFORMA,no_informa,NO,Perdido
HX-00668,2026-07-13,Meta Ads,EMP-01,PV-004,Honda XRE 300,22900000,1,4,NO,credito,SI,Perdido
HX-00669,2026-06-21,Formulario Web,EMP-02,PV-008,Bajaj Boxer CT 100,5790000,0.5,5,NO,credito,NO,Perdido
HX-00670,2026-07-12,Meta Ads,EMP-02,PV-007,Bajaj Boxer CT 100,5790000,,0,SI,credito,NO,Sin gestión
HX-00671,2026-03-23,Meta Ads,EMP-03,PV-014,Honda Dio 110,6890000,4,3,SI,contado,NO,Perdido
HX-00672,2026-03-24,WhatsApp,EMP-01,PV-001,AKT TTR 200,9890000,72,2,SI,credito,NO,Perdido
HX-00673,2026-06-26,Formulario Web,EMP-02,PV-009,Suzuki Best 125,6590000,24,6,SI,credito,SI,Perdido
HX-00674,2026-05-24,Formulario Web,EMP-01,PV-001,Hero Hunk 160R,10490000,16,6,SI,credito,SI,Perdido
HX-00675,2026-05-02,WhatsApp,EMP-03,PV-014,Suzuki Gixxer 150,11990000,120,7,NO_INFORMA,no_informa,NO,Perdido
HX-00676,2026-06-05,WhatsApp,EMP-02,PV-006,AKT Evo RS 150,7190000,48,1,SI,credito,SI,Perdido
HX-00677,2026-04-13,WhatsApp,EMP-03,PV-013,Suzuki V-Strom 250,21900000,16,7,NO_INFORMA,no_informa,NO,Perdido
HX-00678,2026-06-08,WhatsApp,EMP-02,PV-006,AKT NKD 125,5290000,2,3,SI,credito,NO,Perdido
HX-00679,2026-04-07,Formulario Web,EMP-01,PV-004,Bajaj Pulsar RS 200,15490000,72,3,SI,credito,NO,Perdido
HX-00680,2026-06-05,Meta Ads,EMP-03,PV-015,Hero Dash 110,6290000,4,1,NO,credito,NO,Perdido
HX-00681,2026-03-17,Meta Ads,EMP-01,PV-004,Suzuki V-Strom 250,21900000,2,5,NO,credito,NO,Perdido
HX-00682,2026-04-08,Formulario Web,EMP-03,PV-015,Honda CB 190R,13990000,2,2,NO,credito,NO,Perdido
HX-00683,2026-06-11,WhatsApp,EMP-02,PV-008,AKT TTR 200,9890000,72,5,SI,credito,SI,Perdido
HX-00684,2026-03-15,Formulario Web,EMP-01,PV-002,Honda Navi,7290000,8,5,NO,contado,SI,Perdido
HX-00685,2026-07-14,Meta Ads,EMP-03,PV-013,Bajaj Pulsar RS 200,15490000,4,2,SI,credito,NO,Perdido
HX-00686,2026-05-25,Meta Ads,EMP-02,PV-006,Bajaj Pulsar NS 125,8990000,24,5,SI,credito,NO,Perdido
HX-00687,2026-06-25,WhatsApp,EMP-01,PV-005,Suzuki V-Strom 250,21900000,2,4,NO,credito,NO,Cerrado
HX-00688,2026-07-27,WhatsApp,EMP-03,PV-014,Bajaj Pulsar NS 160,11290000,72,2,SI,contado,NO,Perdido
HX-00689,2026-05-27,WhatsApp,EMP-01,PV-005,Bajaj Pulsar RS 200,15490000,72,6,SI,credito,SI,Perdido
HX-00690,2026-07-03,Meta Ads,EMP-01,PV-002,Honda XR 150L,11490000,,0,NO_INFORMA,credito,NO,Sin gestión
HX-00691,2026-03-16,Formulario Web,EMP-01,PV-005,AKT Dynamic R3 125,5590000,48,6,SI,no_informa,NO,Perdido
HX-00692,2026-03-21,Meta Ads,EMP-02,PV-010,Suzuki Best 125,6590000,48,7,NO,credito,NO,Perdido
HX-00693,2026-06-14,Meta Ads,EMP-02,PV-010,Hero Dash 110,6290000,8,2,SI,contado,SI,Perdido
HX-00694,2026-05-20,WhatsApp,EMP-01,PV-002,Suzuki GN 125,7490000,16,4,SI,credito,NO,Perdido
HX-00695,2026-05-05,WhatsApp,EMP-01,PV-003,Hero Hunk 160R,10490000,,0,SI,credito,NO,Sin gestión
HX-00696,2026-06-15,Formulario Web,EMP-02,PV-008,AKT TTR 200,9890000,48,1,SI,credito,SI,Perdido
HX-00697,2026-07-13,Meta Ads,EMP-03,PV-011,Suzuki Gixxer 150,11990000,16,5,NO_INFORMA,credito,NO,Perdido
HX-00698,2026-05-30,WhatsApp,EMP-01,PV-002,Honda Navi,7290000,1,7,SI,credito,SI,Perdido
HX-00699,2026-05-15,WhatsApp,EMP-02,PV-009,Honda XRE 300,22900000,48,5,NO_INFORMA,credito,SI,Perdido
HX-00700,2026-04-28,WhatsApp,EMP-03,PV-013,Honda Navi,7290000,16,5,SI,credito,SI,Perdido
HX-00701,2026-03-13,WhatsApp,EMP-03,PV-011,AKT TTR 200,9890000,120,1,SI,credito,SI,Perdido
HX-00702,2026-03-28,WhatsApp,EMP-02,PV-007,Suzuki Gixxer 150,11990000,24,6,SI,credito,NO,Perdido
HX-00703,2026-04-13,Formulario Web,EMP-02,PV-009,Hero Hunk 160R,10490000,1,3,NO_INFORMA,credito,SI,Perdido
